台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南下(Southbound),,,,,,,,,,
,,,,,,,,,,
,=,=,=,=,,=,=,=,=,=
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,
,,,,,,,,,,P.7
,,,,,,,,,,
,,,,,,,,,,
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南下(Southbound),,,,,,,,,,
,,,,,,,,,,
行駛日,,五、日,,五、日,,五~日,,五、日,,五、日
"      車次

站名",B,E,D,B',F,D,B,E,D,B'
,157,1553,681,1253,857,1685,161,1557,687,1257
,,,,,,,,,,
南港,19:20,19:25,19:35,19:40,20:00,20:10,20:20,20:25,20:35,20:40
,,,,,,,,,,
台北,19:31,19:36,19:46,19:51,20:11,20:21,20:31,20:36,20:46,20:51
,,,,,,,,,,
板橋,19:39,19:46,19:55,19:59,20:19,20:29,20:39,20:46,20:55,20:59
,,,,,,,,,,
桃園,↓,20:01,20:10,↓,20:34,20:43,↓,21:01,21:10,↓
,,,,,,,,,,
新竹,↓,20:12,20:22,↓,20:47,20:56,↓,21:12,21:22,↓
,,,,,,,,,,
苗栗,↓,20:25,↓,↓,20:58,↓,↓,21:25,↓,↓
,,,,,,,,,,
台中,20:20,20:42,20:48,20:40,21:17,21:25,21:20,21:42,21:48,21:40
,,=,,,,,,=,,
彰化,↓,,↓,↓,21:30,↓,↓,,↓,↓
,,,,,,,,,,
雲林,↓,,↓,↓,21:41,↓,↓,,↓,↓
,,,,,,,,,,
嘉義,↓,,21:14,↓,21:55,21:50,↓,,22:14,↓
,,,,,,,,,,
台南,↓,,21:33,21:18,22:13,22:07,↓,,22:33,22:18
,,,,,,,,,,
左營,21:05,,21:45,21:30,22:25,22:20,22:05,,22:45,22:30
,=,,=,=,=,=,=,,=,=
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,
,,,,,,,,,,P.8
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南下(Southbound),,,,,,,,,,
,,,,,,,,,,
行駛日,,五,,,,五、日,,,,
"      車次

站名",F,D,B,D,C,E,B',E,E,
,861,1691,165,693,333,1563,295,565,567,
,,,,,,,,,,
南港,21:00,21:10,21:20,21:30,21:45,21:55,22:05,22:15,22:50,
,,,,,,,,,,
台北,21:11,21:21,21:31,21:41,21:56,22:05,22:16,22:26,23:00,
,,,,,,,,,,
板橋,21:19,21:29,21:39,21:50,↓,22:14,↓,22:35,23:08,
,,,,,,,,,,
桃園,21:34,21:43,↓,22:05,22:15,22:27,22:35,22:48,23:21,
,,,,,,,,,,
新竹,21:47,21:56,↓,22:17,↓,22:38,↓,23:00,23:32,
,,,,,,,,,,
苗栗,21:58,↓,↓,↓,↓,22:52,↓,23:12,23:43,
,,,,,,,,,,
台中,22:17,22:25,22:20,22:43,22:49,23:10,23:07,23:29,23:59,
,,,,,,=,,=,=,
彰化,22:30,↓,↓,↓,23:01,,↓,,,
,,,,,,,,,,
雲林,22:41,↓,↓,↓,23:12,,↓,,,
,,,,,,,,,,
嘉義,22:55,22:50,↓,23:09,23:24,,23:30,,,
,,,,,,,,,,
台南,23:13,23:07,↓,23:28,23:42,,23:48,,,
,,,,,,,,,,
左營,23:25,23:20,23:05,23:40,23:55,,23:59,,,
,=,=,=,=,=,,=,,,
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,
,,,,,,,,,,P.9
,,,,,,,,,,
,,,,,,,,,,
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南下(Southbound),,,,,,,,,,
,,,,,,,,,,
行駛日,,,,,,,,,,
"      車次

站名",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南港,,,,,,,,,,
,,,,,,,,,,
台北,,,,,,,,,,
,,,,,,,,,,
板橋,,,,,,,,,,
,,,,,,,,,,
桃園,,,,,,,,,,
,,,,,,,,,,
新竹,,,,,,,,,,
,,,,,,,,,,
苗栗,,,,,,,,,,
,,,,,,,,,,
台中,,,,,,,,,,
,,,,,,,,,,
彰化,,,,,,,,,,
,,,,,,,,,,
雲林,,,,,,,,,,
,,,,,,,,,,
嘉義,,,,,,,,,,
,,,,,,,,,,
台南,,,,,,,,,,
,,,,,,,,,,
左營,,,,,,,,,,
,,,,,,,,,,
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,
,,,,,,,,,,P.10
